fileAbsolutePath,solutionId,objectiveFunction,shiftCount,tripperCount,executionTimeInSeconds
C:\Users\mato\Desktop\Scenarios\2019-January\E-Piloti-Gennaio.SoluzioniTrovate,1,9191.16713,247,19,672
C:\Users\mato\Desktop\Scenarios\2019-January\E-Piloti-Gennaio.SoluzioniTrovate,2,9176.792123,247,19,897
C:\Users\mato\Desktop\Scenarios\2019-January\E-Piloti-Gennaio.SoluzioniTrovate,3,9173.792104,247,19,1057
C:\Users\mato\Desktop\Scenarios\2019-January\E-Piloti-Gennaio.SoluzioniTrovate,4,9166.452116,246,19,1199
C:\Users\mato\Desktop\Scenarios\2019-January\E-Piloti-Gennaio.SoluzioniTrovate,5,9166.15212,245,19,1359
C:\Users\mato\Desktop\Scenarios\2019-January\E-Piloti-Gennaio.SoluzioniTrovate,6,9169.207104,245,19,1531
C:\Users\mato\Desktop\Scenarios\2019-January\E-Piloti-Gennaio.SoluzioniTrovate,7,9176.612088,246,19,1664
C:\Users\mato\Desktop\Scenarios\2019-January\E-Piloti-Gennaio.SoluzioniTrovate,8,9158.627096,244,20,1788
C:\Users\mato\Desktop\Scenarios\2019-January\E-Piloti-Gennaio.SoluzioniTrovate,9,9178.527081,242,20,1919
C:\Users\mato\Desktop\Scenarios\2019-January\E-Piloti-Gennaio.SoluzioniTrovate,10,9176.812065,245,20,2106
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\E-Piloti-Gennaio.SoluzioniTrovate,1,9191.16713,247,19,711
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\E-Piloti-Gennaio.SoluzioniTrovate,2,9176.792123,247,19,913
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\E-Piloti-Gennaio.SoluzioniTrovate,3,9173.792104,247,19,1083
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\E-Piloti-Gennaio.SoluzioniTrovate,4,9166.452116,246,19,1231
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\E-Piloti-Gennaio.SoluzioniTrovate,5,9166.15212,245,19,1417
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\E-Piloti-Gennaio.SoluzioniTrovate,6,9169.207104,245,19,1615
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\E-Piloti-Gennaio.SoluzioniTrovate,7,9176.612088,246,19,1771
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\E-Piloti-Gennaio.SoluzioniTrovate,8,9158.627096,244,20,1910
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\E-Piloti-Gennaio.SoluzioniTrovate,9,9178.527081,242,20,2056
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\E-Piloti-Gennaio.SoluzioniTrovate,10,9176.812065,245,20,2259
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\NoFasceFine\E-Piloti-Gennaio-NoFasceFine.SoluzioniTrovate,1,9191.16713,247,19,826
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\NoFasceFine\E-Piloti-Gennaio-NoFasceFine.SoluzioniTrovate,2,9176.792123,247,19,1071
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\NoFasceFine\E-Piloti-Gennaio-NoFasceFine.SoluzioniTrovate,3,9173.792104,247,19,1277
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\NoFasceFine\E-Piloti-Gennaio-NoFasceFine.SoluzioniTrovate,4,9166.452116,246,19,1455
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\NoFasceFine\E-Piloti-Gennaio-NoFasceFine.SoluzioniTrovate,5,9166.15212,245,19,1654
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\NoFasceFine\E-Piloti-Gennaio-NoFasceFine.SoluzioniTrovate,6,9169.207104,245,19,1860
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\NoFasceFine\E-Piloti-Gennaio-NoFasceFine.SoluzioniTrovate,7,9176.612088,246,19,2025
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\NoFasceFine\E-Piloti-Gennaio-NoFasceFine.SoluzioniTrovate,8,9158.627096,244,20,2180
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\NoFasceFine\E-Piloti-Gennaio-NoFasceFine.SoluzioniTrovate,9,9178.527081,242,20,2330
C:\Users\mato\Desktop\Scenarios\2019-January - CommandLine\NoFasceFine\E-Piloti-Gennaio-NoFasceFine.SoluzioniTrovate,10,9176.812065,245,20,2537
C:\Users\mato\Desktop\Scenarios\2019-January-2days\E-Piloti-Gennaio.SoluzioniTrovate,1,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days\E-Piloti-Gennaio.SoluzioniTrovate,2,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days\E-Piloti-Gennaio.SoluzioniTrovate,3,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days\E-Piloti-Gennaio.SoluzioniTrovate,4,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days\E-Piloti-Gennaio.SoluzioniTrovate,5,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days\E-Piloti-Gennaio.SoluzioniTrovate,6,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days\E-Piloti-Gennaio.SoluzioniTrovate,7,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days\E-Piloti-Gennaio.SoluzioniTrovate,8,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days\E-Piloti-Gennaio.SoluzioniTrovate,9,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days\E-Piloti-Gennaio.SoluzioniTrovate,10,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-AirportParameterDifferentOrder\E-Piloti-Gennaio.SoluzioniTrovate,1,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-AirportParameterDifferentOrder\E-Piloti-Gennaio.SoluzioniTrovate,2,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-AirportParameterDifferentOrder\E-Piloti-Gennaio.SoluzioniTrovate,3,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-AirportParameterDifferentOrder\E-Piloti-Gennaio.SoluzioniTrovate,4,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-AirportParameterDifferentOrder\E-Piloti-Gennaio.SoluzioniTrovate,5,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-AirportParameterDifferentOrder\E-Piloti-Gennaio.SoluzioniTrovate,6,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-AirportParameterDifferentOrder\E-Piloti-Gennaio.SoluzioniTrovate,7,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-AirportParameterDifferentOrder\E-Piloti-Gennaio.SoluzioniTrovate,8,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-AirportParameterDifferentOrder\E-Piloti-Gennaio.SoluzioniTrovate,9,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-AirportParameterDifferentOrder\E-Piloti-Gennaio.SoluzioniTrovate,10,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-SigleTipologia\E-Piloti-Gennaio.SoluzioniTrovate,1,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-SigleTipologia\E-Piloti-Gennaio.SoluzioniTrovate,2,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-SigleTipologia\E-Piloti-Gennaio.SoluzioniTrovate,3,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-SigleTipologia\E-Piloti-Gennaio.SoluzioniTrovate,4,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-SigleTipologia\E-Piloti-Gennaio.SoluzioniTrovate,5,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-SigleTipologia\E-Piloti-Gennaio.SoluzioniTrovate,6,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-SigleTipologia\E-Piloti-Gennaio.SoluzioniTrovate,7,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-SigleTipologia\E-Piloti-Gennaio.SoluzioniTrovate,8,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-SigleTipologia\E-Piloti-Gennaio.SoluzioniTrovate,9,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-2days-SigleTipologia\E-Piloti-Gennaio.SoluzioniTrovate,10,1028.775036,7,10,0
C:\Users\mato\Desktop\Scenarios\2019-January-NoE195ACParameters\E-Piloti-Gennaio-NoE195ACParameters.SoluzioniTrovate,1,9191.16713,247,19,863
C:\Users\mato\Desktop\Scenarios\2019-January-NoE195ACParameters\E-Piloti-Gennaio-NoE195ACParameters.SoluzioniTrovate,2,9176.792123,247,19,1165
C:\Users\mato\Desktop\Scenarios\2019-January-NoE195ACParameters\E-Piloti-Gennaio-NoE195ACParameters.SoluzioniTrovate,3,9173.792104,247,19,1374
C:\Users\mato\Desktop\Scenarios\2019-January-NoE195ACParameters\E-Piloti-Gennaio-NoE195ACParameters.SoluzioniTrovate,4,9166.452116,246,19,1565
C:\Users\mato\Desktop\Scenarios\2019-January-NoE195ACParameters\E-Piloti-Gennaio-NoE195ACParameters.SoluzioniTrovate,5,9166.15212,245,19,1899
